,ix,id,initial_input,content,correct,condition,issue,fixed,,,,,
119,119,QI6Y8TK1,"The active stones ALWAYS change the inactive stones to a darker shade of blue (like Royal Blue), upon contact, irrespective of the color of the active stone. If the inactive stone has a greater number of sides than the active stone, upon contact, the color changes as noted previously but the shape remains unchanged. If the inactive stone has a fewer number of sides than the active stone, upon contact, again, the color changes as previously noted and the shape changes to have a total number of sides to be one greater than the active stone. Example: Triangle (irrespective of color, 3 sides) active stone changes a square (irrespective of color, 4 sides) inactive stone to darker blue (unless already that color) and shape remains the same, since it already has one more total number sides than the active stone. Another example: Pentagon (irrespective of color, 5 sides) active stone changes a square (irrespective of color, 4 sides) inactive stone to darker blue (unless already that color) and changes the shape to a hexagon (6 sides), so that the inactive stone has one more total number sides than the active stone.",Specific,10,A6,movement,fixed_R,,,,,
120,120,KRDJ8EMY,after two stones demolition the lite blue changed to dark blue,Fuzzy,3,A6,movement,fixed_R,,,,,
122,122,TTP22JQV,"If any of the stone hit triangle stone is inactive.it cannot create mysterious stone
If any of the stone hit other than triangle stone is active.its create mysterious stone.",Fuzzy,5,A6,movement,fixed_R,,,,,
123,123,OHA827HT,"active stone changes the color of the inactive stone to dark blue, as well as increasing the number of sides on the inactive stone as long as the active stone has at least more sides than the inactive one initially

so an active stone with 6 sides will change a stone with 4 sides to a stone with 7 sides, while a stone with 3 sides won't change the sides to a stone that has 4 sides",Incomplete,6,A6,movement,fixed_R,,,,,
130,130,0O3YTJ59,It adds another angle to the shape of the stone that is in the active state and changes the color to a darker color.,Specific,10,A6,movement,fixed_R,,,,,
133,133,DMLJ0A3S,i don't no ,meaningless,2,A6,movement,fixed_R,,,,,
168,168,ZXYSAA8C,I believe these stones are work well.,meaningless,2,A6,movement,fixed_R,,,,,
169,169,Z3U5L1GC,all colors and shapes are change,meaningless,0,A6,movement,fixed_R,,,,,
171,171,XUGZLZS4,all colors and shapes are change,meaningless,1,A6,movement,fixed_R,,,,,
172,172,RKNPMZEH,All colours and shapes are change.,meaningless,1,A6,movement,fixed_R,,,,,
173,173,Z6MU7DPA,All colors and shapes are changed. There are active and inactive stones.,Fuzzy,6,A6,movement,fixed_R,,,,,
198,198,RXFLAJ1I,"When an active stone has more sides than the inactive stone, it will turn the inactive stone into the sides of the active stone plus one side (the effect). For example, if an active pentagon hits an inactive square, the inactive stone will turn into a hexagon (pentagon + 1 side). This does not happen if the active stone has fewer sides than the inactive stone, for example, if an active triangle hits an inactive square, the effect is still a square.

The colour of the shapes does not matter, as the effect or result is always in the same shade, no matter what colour the active and inactive stones were before they hit each other.",Incomplete,8,A6,movement,fixed_R,,,,,
199,199,AUQ3TVAH,The stone that hits the other stones taking it's shape,Fuzzy,6,A6,movement,fixed_R,,,,,
200,200,E9GOPAIY,"The active stone always changes to a darker shade regardless of the colour of the inactive stone. However if the active stone has more sides the active stones sides will increase by one extra side. If the inactive stone has fewer sides then the active stone remains the same.


",Specific,8,A6,movement,fixed_R,,,,,
201,201,6OEO2FUO,"When an inactive stone (no yellow border) collides with an active stone the change in shape is reliant on the original number of sides of both stones before the collision. If the inactive stone had more sides than the active stone, no change in shape will occur. If the active stone had more sides than the inactive stone, a new shape will be created and will have one more side than the active stone has. 
A colour change always happens to the inactive stone, no matter what, and always is for the inactive stone to change to a darker shade. ",Specific,10,A6,movement,fixed_R,,,,,
202,202,BGI68U6Z,"If an inactive shape collides with an active shape, it becomes the dark colour. If the inactive shape also has less sides than the inactive shape, then the inactive shape will turn into a dark shape with more sides, else it will remain the same shape  ",Specific,11,A6,movement,fixed_R,,,,,
16,16,551HJ12A,"When the dark shade stone interacts with light or medium stones it will make both stones dark inactive. 

Whenever the hexagon or pentagon stones interact with another they make the other's shape to dark hexagon stone.

When light stones interact with medium shade stones it makes other stone as dark without changing the shape.",Fuzzy,5,A7,indicator,fixed_R,,,,,
17,17,9QXHDLCE,"the said to help guide you to harmony and balance to help you make clear, conscious decisions. This purple stone is said to be incredibly protective, healing, and purifying. It__ claimed it can help.",meaningless,0,A7,indicator,fixed_R,,,,,
23,23,8X2DJRHD,If the left side of the shape has three corners then the right side of the shape will turn four corners. It adds one extra corner to the right side of the shape.,Incomplete,10,A7,indicator,fixed_R,,,,,
24,24,4JIBMZ7C,"Once activated, they change into another shape. With the exception being the triangle. It did not change the shape of the square. So that leads me to believe that only shapes with more than 3 sides can change/activate the other shapes. ",Fuzzy,7,A7,indicator,fixed_R,,,,,
27,27,VC5SEWL4,"When a triangle touches a square, it causes the square to become one shade darker. When a pentagon or hexagon touches a square, it causes the square to become one shade darker, and also take on the shape of the original stone + gain one extra side. So for example, a pentagon turns a square into a hexagon; a hexagon turns a square into a heptagon.",Specific,12,A7,indicator,fixed_R,,,,,
28,28,YCYL47G4,The active with more than 3 sides changes the inactive after.,Fuzzy,3,A7,indicator,fixed_R,,,,,
71,71,3L41QDPR,"I believe the property that seems to matter the most is the amount of sides on the active before shape. The triangles turned into squares, but shapes with more than three sides turned into hexagons.",Fuzzy,3,A7,indicator,fixed_R,,,,,
78,78,4Z478076,The stones alter the shape of the stone when the shape has more than 3 sides. If the stone has 3 sides then it changes the color of the stone. ,Fuzzy,3,A7,indicator,fixed_R,,,,,
93,93,FM3962XH,I think the number of side increases ( pentagon becomes hexagon after collision with a square) when two stones strike each other and the color also becomes bright.,Incomplete,9,A7,indicator,fixed_R,,,,,
109,109,KQXVX71C,The characteristics of the stone changes depends on the characteristics of the stone which is making contact with it,Fuzzy,4,A7,indicator,fixed_R,,,,,
114,114,3YEA4G1K,The shades and sides of the stones are changing depends on the mysterious powers of the stone which are colliding with it.,Fuzzy,2,A7,indicator,fixed_R,,,,,
116,116,OCOT9T7N,stones which have more edges are seems to be active compared to three edged stones,Fuzzy,0,A7,indicator,fixed_R,,,,,
118,118,RVC6X3NC,"The active stone will darken the inactive stone, and will change it's polygonal structure to 1 side greater than the active stone so long as it is of a greater n than the inactive stone.",Specific,8,A7,indicator,fixed_R,,,,,
134,134,A3CUHYUH,"When a five-sided stone comes in contact with the inactive stone, the inactive stone becomes active with six or more sides.
But when a three-sided stone comes in contact with the inactive stone, the inactive stone becomes active but maintains its original four sides.",Fuzzy,4,A7,indicator,fixed_R,,,,,
 ,149,HLY7VN4B,Active and/or inactive stones on the left change active and/or inactive stones on the right to be dark blue stones with a number of sides equal to one more than the number of sides of the stone on the left.,Specific,11,A7,indicator,fixed_R,,,,,
,150,38AII0SP,The darker triangle stones will turn the lighter stone dark. The pentagon will change the color and the shape. All stones were inactive and didn't change to active.,Fuzzy,5,A7,indicator,fixed_R,,,,,
,151,MXVXF3AQ,"When the active stone (or at least he one on the left) touches the inactive(?) stone (the square on the right). The square will turn a dark color and a different shape depending on what the active(?) stone was.

When the dark hexagon touched the square, the square became a dark heptagon. When the light, hexagon touched the square, it again became a dark heptagon. When the pentagon touched the square, the square became a hexagon, and when the triangle touched the light square it became a dark square.

When the active stone touches the inactive stone (the square), the square will change into dark version of the shape with 1 more side than the active stone. So when the hexagon touches the square, it becomes a dark heptagon, and when the triangle touches the square it remains a square but changes to a dark color.",Incomplete,10,A7,indicator,fixed_R,,,,,
,152,829DO8XP,"The shape changes to other shape when the interaction gets done between two stones. When no interaction between the stones, there is no change in shape.",Fuzzy,2,A7,indicator,fixed_R,,,,,
,153,CNKDPP83,"The first stone will cause the color of the second stone to get darker and also increase the number of sides of the stone by one more than the first stone, unless the second stone is already has one more side.",Specific,18,A7,indicator,fixed_R,,,,,
,154,UUZH3V2T,The mysterious stones work when it is interact with another stone to become an active one.,Fuzzy,9,A7,indicator,fixed_R,,,,,
,155,ZD4J01BZ,"The mysterious stone interact with another stone, the properties of the stone will be changed",Fuzzy,6,A7,indicator,fixed_R,,,,,
,156,5DM4JE1R,Triangles make the other shapes darker. Otherwise the inactive stones add more sides to the active stones.,Incomplete,8,A7,indicator,fixed_R,,,,,
,157,YMB9VSLU,The stones are active based on the color of the color. It has great efforts when it joins the other shape. It was easily movable and attracted to others.,Fuzzy,1,A7,indicator,fixed_R,,,,,
187,187,SDUM9XKF,"*Active stones turn inactive stones to a dark blue.  Also:
- 5-sided active stones turn inactive stones into 6-sided shapes
- 6-sided active stones turn inactive stones into 7-sided shapes
- Triangle active stones turn inactive stones dark blue but they retain their shape

* by ""active"" I mean the one that moves",Fuzzy,8,A7,indicator,fixed_R,,,,,
188,188,7KUIAHG0,The power of one active mysterious stone replaces another inactive mysterious stone to hexagon. Then the power of one active mysterious stone did not replaces another inactive mysterious stone to hexagon because the two mysterious stones power was equal.,Fuzzy,6,A7,indicator,fixed_R,,,,,
29,29,6GL9BBD1,"When a triangle hits a square, the square stays a square and becomes one shade darker. When anything other than a triangle hits the square, the square goes one shade darker and becomes a new shape. The square will take on the shape of what hit it plus one additional side. For example, if a shape with 5 sides hits the square, the square becomes a shape with 6 sides, etc.",Specific,13,A8,original,fixed_R,,,,,
30,30,YHF7H23W,"The active stones turn the inactive stones they're colliding into a darker shade of themselves. More importantly, they turn inactive shapes into a shape that has one more side than the active shapes.",Specific,10,A8,original,fixed_R,,,,,
31,31,LXYN4CEW,"Please note that these texts are included solely as exemplars in support of the ... __ think my friends will come, but I do not see a birthday cake.",meaningless,0,A8,original,fixed_R,,,,,
41,41,WAOY5EOB,"When an active stone of a particular shape interacts with an inactive square stone, the active (causal) stone will turn the subject (outcome) stone into a new shape with one additional side. This new shaped stone will have as many sides as the first active stone + 1 additional side. For example, when a 5-sided active stone interacts with a 4-sided square inactive stone, it will turn the second stone into a 6-sided stone. The active stone will not, however, cause the stone it interacts with to become active, it will only add an additional side to the subject stone and leave it in an inactive status. ",Incomplete,10,A8,original,fixed_R,,,,,
43,43,YNZKNJWA,"When the active stone hit the inactive stone, the inactive stone changes the color.",Fuzzy,0,A8,original,fixed_A,,,,,
44,44,HVL8NG9C,"Active stones that are pentagons or hexagons turn inactive stones a darker color and increase their amount of sides by one.  Active stones that are triangles only turn the inactive stone a darker color.
",Incomplete,3,A8,original,fixed_A,,,,,
79,79,0HP2Q7JM,The light stone to touch another stone it can change to another stone like the pentagon or the hexagon touch the square stone to change at hexagon stone and other stay at same stone. ,Fuzzy,5,A8,original,fixed_R,,,,,
81,81,OLPTF42T,very great,meaningless,0,A8,original,fixed_R,,,,,
83,83,LF1YSDE2,Active hexagons turn shapes into dark inactive hexagons. Active triangles turn shapes into dark inactive versions of their current shape.,Fuzzy,3,A8,original,fixed_A,,,,,
85,85,SMVFOKGD,The stones that have more then four sides to them and are active are able to change the physical shape of whatever stone that they hit into being the same as them. In contrast stones that have four sides or less can only change the color of whatever stone they hit when active so that they turn a darker shade.,Incomplete,3,A8,original,fixed_A,,,,,
88,88,JUKUY9XO,The shape varies when the two stones are joined.,Fuzzy,0,A8,original,fixed_R,,,,,
89,89,EGEAHWIP,I FOLLOW RULES,meaningless,0,A8,original,fixed_R,,,,,
94,94,QIKOXSTY,"when the stone with greater side strikes the stone with lesser side ( when a pentagon strikes square , the square shaped stone becomes pentagon shaped) , the side of the stone increases resulting in change of its shape as well as the color.",Fuzzy,5,A8,original,fixed_R,,,,,
96,96,VOVRDZ09,Shapes and the color of certain one might been a major part to predict and easy to guess.,Fuzzy,4,A8,original,fixed_A,,,,,
101,101,KTCEQAIG,An active triangle makes the inactive stone a shade darker and an active stone with more than 3 sides makes the stone darker and change shape,Incomplete,9,A8,original,fixed_A,,,,,
113,113,8FR08PZ2,The active stone change the shape and thickness of the color of the inactive stone by interacting with each other. The power of the active stone changes the properties of the inactive stone.,Fuzzy,6,A8,original,fixed_A,,,,,
131,131,OHQ6M152,An active triangle makes inactive stones one shade darker. An active pentagon makes inactive stones one shade darker and adds 2 sides. An active hexagon makes inactive stones one shade darker and adds 3 sides. The inactive stone has no affect on the active stone.,Specific,11,A8,original,fixed_R,,,,,
177,177,9FBT1X9O,The stone's shape changes from one shape to other when the interaction gets done. ,Fuzzy,5,A8,original,fixed_A,,,,,
178,178,OJ1VX3LW,the characteristics of the stones are changing depends on the power of the colliding stone,Fuzzy,3,A8,original,fixed_A,,,,,
181,181,FT6D72N5,"First, the he active stone does not change color or shape.  An active stone, no matter the color, will always cause the inactive stone to darken. If an active stone has less sides than the inactive, the inactive does not change shape.  If the active stone has more sides than the inactive then the inactive stone will increase the number of sides to one more than the active.  ",Specific,8,A8,original,fixed_R,,,,,
182,182,JCSNXPMV,"When the active pentagon shaped stone hits another, the non active stone changes it's shape. When active triangle stone hits another, it changes the color of the non active stone.",Fuzzy,5,A8,original,fixed_R,,,,,
184,184,ED67AWGL,"Once it is interacting with each other, the shape and color gets changing.",Fuzzy,5,A8,original,fixed_R,,,,,
185,185,Q0LLHFAY,"The Triangle shaped stone turns the color of the stone but doesn't affect the shape of the target stones, but the mystery stones which had more than 5 sides did change the shape as well as the color of the target stone from light to a darker shade.",Specific,17,A8,original,fixed_R,,,,,
